Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
OP846980.1,West Nile virus,,"Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.","Institut Pasteur de Dakar, Virology",Senegal,2023-01-01T00:00:00Z,ArD300516/2017,Orthoflavivirus nilense,10104,partial,Senegal,Senegal,,Culex neavei,,2017,,"West Nile virus isolate ArD300516/2017 polyprotein gene, partial cds"
OP846981.1,West Nile virus,,"Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.","Institut Pasteur de Dakar, Virology",Senegal,2023-01-01T00:00:00Z,HS309811/2018,Orthoflavivirus nilense,10104,partial,Senegal,Senegal,,Homo sapiens,,2018,,"West Nile virus isolate HS309811/2018 polyprotein gene, partial cds"
OP846982.1,West Nile virus,,"Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.","Institut Pasteur de Dakar, Virology",Senegal,2023-01-01T00:00:00Z,ArD285495/2016,Orthoflavivirus nilense,10104,partial,Senegal,Senegal,,Culex perfuscus,,2016,,"West Nile virus isolate ArD285495/2016 polyprotein gene, partial cds"
OP870453.1,West Nile virus,,"Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.","Institut Pasteur de Dakar, Virology",Senegal,2023-01-01T00:00:00Z,ArD52432/1989,Orthoflavivirus nilense,10095,partial,Senegal,Senegal,,Mansonia uniformis,,1989,,"West Nile virus isolate ArD52432/1989 polyprotein gene, partial cds"
OP870454.1,West Nile virus,,"Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.","Institut Pasteur de Dakar, Virology",Senegal,2023-01-01T00:00:00Z,ArD54113/1989,Orthoflavivirus nilense,10095,partial,Senegal,Senegal,,Culex antennatus,,1989,,"West Nile virus isolate ArD54113/1989 polyprotein gene, partial cds"
OP870455.1,West Nile virus,,"Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.","Institut Pasteur de Dakar, Virology",Senegal,2023-01-01T00:00:00Z,ArD52473/1990,Orthoflavivirus nilense,10095,partial,Senegal,Senegal,,Culex antennatus,,1990,,"West Nile virus isolate ArD52473/1990 polyprotein gene, partial cds"
OP870456.1,West Nile virus,,"Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.","Institut Pasteur de Dakar, Virology",Senegal,2023-01-01T00:00:00Z,ArD54222/1989,Orthoflavivirus nilense,10095,partial,Senegal,Senegal,,Culex neavei,,1989,,"West Nile virus isolate ArD54222/1989 polyprotein gene, partial cds"
OP870457.1,West Nile virus,,"Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.","Institut Pasteur de Dakar, Virology",Senegal,2023-01-01T00:00:00Z,ArD55667/1990,Orthoflavivirus nilense,10095,partial,Senegal,Senegal,,Culex neavei,,1990,,"West Nile virus isolate ArD55667/1990 polyprotein gene, partial cds"
OP870458.1,West Nile virus,,"Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.","Institut Pasteur de Dakar, Virology",Senegal,2023-01-01T00:00:00Z,ArD55759/1990,Orthoflavivirus nilense,10095,partial,Senegal,Senegal,,Culex tritaeniorhynchus,,1990,,"West Nile virus isolate ArD55759/1990 polyprotein gene, partial cds"
OP870459.1,West Nile virus,,"Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.","Institut Pasteur de Dakar, Virology",Senegal,2023-01-01T00:00:00Z,ArD134613/1998,Orthoflavivirus nilense,10095,partial,Senegal,Senegal,,Mansonia uniformis,,1998,,"West Nile virus isolate ArD134613/1998 polyprotein gene, partial cds"
OP870460.1,West Nile virus,,"Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.","Institut Pasteur de Dakar, Virology",Senegal,2023-01-01T00:00:00Z,ArD172162/2003,Orthoflavivirus nilense,10095,partial,Senegal,Senegal,,Culex antennatus,,2003,,"West Nile virus isolate ArD172162/2003 polyprotein gene, partial cds"
OP870461.1,West Nile virus,,"Ndione,M.H.D., Ndiaye,E.H., Faye,M., Diagne,M.M., Diallo,D., Diallo,A., Sall,A.A., Loucoubar,C., Faye,O., Diallo,M., Barry,M.A., Fall,G.","Institut Pasteur de Dakar, Virology",Senegal,2023-01-01T00:00:00Z,ArD166362/2002,Orthoflavivirus nilense,10095,partial,Senegal,Senegal,,Aedes vexans,,2002,,"West Nile virus isolate ArD166362/2002 polyprotein gene, partial cds"
OL741623.1,West Nile virus,,"Hughes,H.R., Kenney,J.","Centers for Disease Control and Prevention, Division of Vector-borne Diseases",USA,2022-11-15T00:00:00Z,CO18-469,Orthoflavivirus nilense,11025,complete,USA: Colorado,USA,CO,Culex pipiens,,2018-08-26,,"West Nile virus isolate CO18-469, complete genome"
OL840871.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Edessa/516h/2018,Orthoflavivirus nilense,10979,complete,Greece,Greece,,Homo sapiens,,2018-08,,"West Nile virus isolate GR-Edessa/516h/2018, complete genome"
OL840872.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Thessaloniki/563h/2018,Orthoflavivirus nilense,10978,complete,Greece,Greece,,Homo sapiens,,2018-08,,"West Nile virus isolate GR-Thessaloniki/563h/2018, complete genome"
OL840873.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Larissa/778h/2018,Orthoflavivirus nilense,10930,complete,Greece,Greece,,Homo sapiens,,2018-09,,"West Nile virus isolate GR-Larissa/778h/2018, complete genome"
OL840874.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Pieria/198h/2019,Orthoflavivirus nilense,10752,complete,Greece,Greece,,Homo sapiens,,2019-07,,"West Nile virus isolate GR-Pieria/198h/2019, complete genome"
OL840875.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Xanthi/360h/2019,Orthoflavivirus nilense,10752,complete,Greece,Greece,,Homo sapiens,,2019-08,,"West Nile virus isolate GR-Xanthi/360h/2019, complete genome"
OL840876.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Xanthi/424h/2019,Orthoflavivirus nilense,10978,complete,Greece,Greece,,Homo sapiens,,2019-08,,"West Nile virus isolate GR-Xanthi/424h/2019, complete genome"
OL840877.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Evros/557h/2019,Orthoflavivirus nilense,10949,complete,Greece,Greece,,Homo sapiens,,2019-08,,"West Nile virus isolate GR-Evros/557h/2019, complete genome"
OL840878.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Pella/572h/2019,Orthoflavivirus nilense,10979,complete,Greece,Greece,,Homo sapiens,,2019-08,,"West Nile virus isolate GR-Pella/572h/2019, complete genome"
OL840879.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Rodopi/621h/2019,Orthoflavivirus nilense,10978,complete,Greece,Greece,,Homo sapiens,,2019-08,,"West Nile virus isolate GR-Rodopi/621h/2019, complete genome"
OL840880.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Karditsa/201h/2020,Orthoflavivirus nilense,10978,complete,Greece,Greece,,Homo sapiens,,2020-07,,"West Nile virus isolate GR-Karditsa/201h/2020, complete genome"
OL840881.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Serres/BDh/2020,Orthoflavivirus nilense,10978,complete,Greece,Greece,,Homo sapiens,,2020-08,,"West Nile virus isolate GR-Serres/BDh/2020, complete genome"
OL840882.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Pella/491h/2020,Orthoflavivirus nilense,10979,complete,Greece,Greece,,Homo sapiens,,2020-09,,"West Nile virus isolate GR-Pella/491h/2020, complete genome"
OL840883.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Serres/C240m/2019,Orthoflavivirus nilense,10997,complete,Greece,Greece,,Culex pipiens,,2019-07,,"West Nile virus isolate GR-Serres/C240m/2019, complete genome"
OL840884.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Kilkis/C205m/2019,Orthoflavivirus nilense,10702,complete,Greece,Greece,,Culex pipiens,,2019-07,,"West Nile virus isolate GR-Kilkis/C205m/2019, complete genome"
OL840885.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Thessaloniki/C222m/2019,Orthoflavivirus nilense,10997,complete,Greece,Greece,,Culex pipiens,,2019-08,,"West Nile virus isolate GR-Thessaloniki/C222m/2019, complete genome"
OL840886.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Serres/M212m/2020,Orthoflavivirus nilense,10997,complete,Greece,Greece,,Culex pipiens,,2020-08,,"West Nile virus isolate GR-Serres/M212m/2020, complete genome"
OL840887.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Serres/M185m/2020,Orthoflavivirus nilense,10997,complete,Greece,Greece,,Culex pipiens,,2020-07,,"West Nile virus isolate GR-Serres/M185m/2020, complete genome"
OL840888.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Larissa/T23m/2020,Orthoflavivirus nilense,10998,complete,Greece,Greece,,Culex pipiens,,2020-07,,"West Nile virus isolate GR-Larissa/T23m/2020, complete genome"
OL840889.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Kilkis/M207m/2020,Orthoflavivirus nilense,10997,complete,Greece,Greece,,Culex pipiens,,2020-08,,"West Nile virus isolate GR-Kilkis/M207m/2020, complete genome"
OL840890.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Serres/M215m/2020,Orthoflavivirus nilense,10826,complete,Greece,Greece,,Culex pipiens,,2020-08,,"West Nile virus isolate GR-Serres/M215m/2020, complete genome"
OL840891.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Serres/M221m/2020,Orthoflavivirus nilense,10697,complete,Greece,Greece,,Culex pipiens,,2020-08,,"West Nile virus isolate GR-Serres/M221m/2020, complete genome"
OL840892.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Serres/M234m/2020,Orthoflavivirus nilense,10702,complete,Greece,Greece,,Culex pipiens,,2020-08,,"West Nile virus isolate GR-Serres/M234m/2020, complete genome"
OL840893.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Serres/S1m/2020,Orthoflavivirus nilense,10997,complete,Greece,Greece,,Culex pipiens,,2020-07,,"West Nile virus isolate GR-Serres/S1m/2020, complete genome"
OL840894.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Thessaloniki/E361m/2021,Orthoflavivirus nilense,10997,complete,Greece,Greece,,Culex pipiens,,2021-08,,"West Nile virus isolate GR-Thessaloniki/E361m/2021, complete genome"
OL840895.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Pella/E376m/2021,Orthoflavivirus nilense,10997,complete,Greece,Greece,,Culex pipiens,,2021-08,,"West Nile virus isolate GR-Pella/E376m/2021, complete genome"
OL840896.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Serres/E411m/2021,Orthoflavivirus nilense,10997,complete,Greece,Greece,,Culex pipiens,,2021-08,,"West Nile virus isolate GR-Serres/E411m/2021, complete genome"
OL840897.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Imathia/E413m/2021,Orthoflavivirus nilense,10997,complete,Greece,Greece,,Culex pipiens,,2021-08,,"West Nile virus isolate GR-Imathia/E413m/2021, complete genome"
OL840898.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Thessaloniki/E418m/2021,Orthoflavivirus nilense,10997,complete,Greece,Greece,,Culex pipiens,,2021-08,,"West Nile virus isolate GR-Thessaloniki/E418m/2021, complete genome"
OL840899.1,West Nile virus,,"Papa,A.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,2022-11-15T00:00:00Z,GR-Thessaloniki/E419m/2021,Orthoflavivirus nilense,10997,complete,Greece,Greece,,Culex pipiens,,2021-08,,"West Nile virus isolate GR-Thessaloniki/E419m/2021, complete genome"
OP609790.1,West Nile virus,,"Barzon,L., Pacenti,M., Montarsi,F., Fornasiero,D., Gobbo,F., Quaranta,E., Monne,I., Fusaro,A., Volpe,A., Sinigaglia,A., Riccetti,S., Molin,E.D., Satto,S., Lisi,V., Gobbi,F., Galante,S., Feltrin,G., Valeriano,V., Favero,L., Russo,F., Mazzucato,M., Bortolami,A., Mulatti,P., Terregino,C., Capelli,G., Quaranta,E.G., Palumbo,E., Schivo,A., Salviato,A.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Science",Italy,2022-11-13T00:00:00Z,,Orthoflavivirus nilense,10827,complete,Italy,Italy,,Homo sapiens,,2022-07-04,,"West Nile virus strain Italy/2022/Padova/22RS1342-1, complete genome"
OP609791.1,West Nile virus,,"Barzon,L., Pacenti,M., Montarsi,F., Fornasiero,D., Gobbo,F., Quaranta,E., Monne,I., Fusaro,A., Volpe,A., Sinigaglia,A., Riccetti,S., Molin,E.D., Satto,S., Lisi,V., Gobbi,F., Galante,S., Feltrin,G., Valeriano,V., Favero,L., Russo,F., Mazzucato,M., Bortolami,A., Mulatti,P., Terregino,C., Capelli,G., Quaranta,E.G., Palumbo,E., Schivo,A., Salviato,A.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Science",Italy,2022-11-13T00:00:00Z,,Orthoflavivirus nilense,10767,complete,Italy,Italy,,Homo sapiens,,2022,,"West Nile virus strain Italy/2022/Padova/22RS1738-1, complete genome"
OP609792.1,West Nile virus,,"Barzon,L., Pacenti,M., Montarsi,F., Fornasiero,D., Gobbo,F., Quaranta,E., Monne,I., Fusaro,A., Volpe,A., Sinigaglia,A., Riccetti,S., Molin,E.D., Satto,S., Lisi,V., Gobbi,F., Galante,S., Feltrin,G., Valeriano,V., Favero,L., Russo,F., Mazzucato,M., Bortolami,A., Mulatti,P., Terregino,C., Capelli,G., Quaranta,E.G., Palumbo,E., Schivo,A., Salviato,A.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Science",Italy,2022-11-13T00:00:00Z,,Orthoflavivirus nilense,10801,complete,Italy,Italy,,Homo sapiens,,2022,,"West Nile virus strain Italy/2022/Padova/22RS1738-2, complete genome"
OP609793.1,West Nile virus,,"Barzon,L., Pacenti,M., Montarsi,F., Fornasiero,D., Gobbo,F., Quaranta,E., Monne,I., Fusaro,A., Volpe,A., Sinigaglia,A., Riccetti,S., Molin,E.D., Satto,S., Lisi,V., Gobbi,F., Galante,S., Feltrin,G., Valeriano,V., Favero,L., Russo,F., Mazzucato,M., Bortolami,A., Mulatti,P., Terregino,C., Capelli,G., Quaranta,E.G., Palumbo,E., Schivo,A., Salviato,A.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Science",Italy,2022-11-13T00:00:00Z,,Orthoflavivirus nilense,10827,complete,Italy,Italy,,Homo sapiens,,2022,,"West Nile virus strain Italy/2022/Verona/22RS1738-4, complete genome"
OP609794.1,West Nile virus,,"Barzon,L., Pacenti,M., Montarsi,F., Fornasiero,D., Gobbo,F., Quaranta,E., Monne,I., Fusaro,A., Volpe,A., Sinigaglia,A., Riccetti,S., Molin,E.D., Satto,S., Lisi,V., Gobbi,F., Galante,S., Feltrin,G., Valeriano,V., Favero,L., Russo,F., Mazzucato,M., Bortolami,A., Mulatti,P., Terregino,C., Capelli,G., Quaranta,E.G., Palumbo,E., Schivo,A., Salviato,A.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Science",Italy,2022-11-13T00:00:00Z,,Orthoflavivirus nilense,10827,complete,Italy,Italy,,Homo sapiens,,2022,,"West Nile virus strain Italy/2022/Vicenza/22RS1738-6, complete genome"
OP609795.1,West Nile virus,,"Barzon,L., Pacenti,M., Montarsi,F., Fornasiero,D., Gobbo,F., Quaranta,E., Monne,I., Fusaro,A., Volpe,A., Sinigaglia,A., Riccetti,S., Molin,E.D., Satto,S., Lisi,V., Gobbi,F., Galante,S., Feltrin,G., Valeriano,V., Favero,L., Russo,F., Mazzucato,M., Bortolami,A., Mulatti,P., Terregino,C., Capelli,G., Quaranta,E.G., Palumbo,E., Schivo,A., Salviato,A.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Science",Italy,2022-11-13T00:00:00Z,,Orthoflavivirus nilense,10762,complete,Italy,Italy,,Homo sapiens,,2022,,"West Nile virus strain Italy/2022/Padova/22RS1738-7, complete genome"
OP609796.1,West Nile virus,,"Barzon,L., Pacenti,M., Montarsi,F., Fornasiero,D., Gobbo,F., Quaranta,E., Monne,I., Fusaro,A., Volpe,A., Sinigaglia,A., Riccetti,S., Molin,E.D., Satto,S., Lisi,V., Gobbi,F., Galante,S., Feltrin,G., Valeriano,V., Favero,L., Russo,F., Mazzucato,M., Bortolami,A., Mulatti,P., Terregino,C., Capelli,G., Quaranta,E.G., Palumbo,E., Schivo,A., Salviato,A.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Science",Italy,2022-11-13T00:00:00Z,,Orthoflavivirus nilense,10812,complete,Italy,Italy,,Homo sapiens,,2022,,"West Nile virus strain Italy/2022/Rovigo/22RS1738-8, complete genome"
OP609797.1,West Nile virus,,"Barzon,L., Pacenti,M., Montarsi,F., Fornasiero,D., Gobbo,F., Quaranta,E., Monne,I., Fusaro,A., Volpe,A., Sinigaglia,A., Riccetti,S., Molin,E.D., Satto,S., Lisi,V., Gobbi,F., Galante,S., Feltrin,G., Valeriano,V., Favero,L., Russo,F., Mazzucato,M., Bortolami,A., Mulatti,P., Terregino,C., Capelli,G., Quaranta,E.G., Palumbo,E., Schivo,A., Salviato,A.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Science",Italy,2022-11-13T00:00:00Z,,Orthoflavivirus nilense,10761,complete,Italy,Italy,,Homo sapiens,,2022,,"West Nile virus strain Italy/2022/Rovigo/22RS1738-11, complete genome"
OP609798.1,West Nile virus,,"Barzon,L., Pacenti,M., Montarsi,F., Fornasiero,D., Gobbo,F., Quaranta,E., Monne,I., Fusaro,A., Volpe,A., Sinigaglia,A., Riccetti,S., Molin,E.D., Satto,S., Lisi,V., Gobbi,F., Galante,S., Feltrin,G., Valeriano,V., Favero,L., Russo,F., Mazzucato,M., Bortolami,A., Mulatti,P., Terregino,C., Capelli,G., Quaranta,E.G., Palumbo,E., Schivo,A., Salviato,A.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Science",Italy,2022-11-13T00:00:00Z,,Orthoflavivirus nilense,10826,complete,Italy,Italy,,Homo sapiens,,2022,,"West Nile virus strain Italy/2022/Padova/22RS1738-23, complete genome"
OP609799.1,West Nile virus,,"Barzon,L., Pacenti,M., Montarsi,F., Fornasiero,D., Gobbo,F., Quaranta,E., Monne,I., Fusaro,A., Volpe,A., Sinigaglia,A., Riccetti,S., Molin,E.D., Satto,S., Lisi,V., Gobbi,F., Galante,S., Feltrin,G., Valeriano,V., Favero,L., Russo,F., Mazzucato,M., Bortolami,A., Mulatti,P., Terregino,C., Capelli,G., Quaranta,E.G., Palumbo,E., Schivo,A., Salviato,A.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Science",Italy,2022-11-13T00:00:00Z,,Orthoflavivirus nilense,10813,complete,Italy,Italy,,Larus michahellis,,2022-07-01,,"West Nile virus strain Italy/2022/Rovigo/22VIR7355, complete genome"
OP609800.1,West Nile virus,,"Barzon,L., Pacenti,M., Montarsi,F., Fornasiero,D., Gobbo,F., Quaranta,E., Monne,I., Fusaro,A., Volpe,A., Sinigaglia,A., Riccetti,S., Molin,E.D., Satto,S., Lisi,V., Gobbi,F., Galante,S., Feltrin,G., Valeriano,V., Favero,L., Russo,F., Mazzucato,M., Bortolami,A., Mulatti,P., Terregino,C., Capelli,G., Quaranta,E.G., Palumbo,E., Schivo,A., Salviato,A.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Science",Italy,2022-11-13T00:00:00Z,,Orthoflavivirus nilense,10826,complete,Italy,Italy,,Passer domesticus,,2022-07-04,,"West Nile virus strain Italy/2022/Rovigo/22VIR7340, complete genome"
OP609801.1,West Nile virus,,"Barzon,L., Pacenti,M., Montarsi,F., Fornasiero,D., Gobbo,F., Quaranta,E., Monne,I., Fusaro,A., Volpe,A., Sinigaglia,A., Riccetti,S., Molin,E.D., Satto,S., Lisi,V., Gobbi,F., Galante,S., Feltrin,G., Valeriano,V., Favero,L., Russo,F., Mazzucato,M., Bortolami,A., Mulatti,P., Terregino,C., Capelli,G., Quaranta,E.G., Palumbo,E., Schivo,A., Salviato,A.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Science",Italy,2022-11-13T00:00:00Z,,Orthoflavivirus nilense,10825,complete,Italy,Italy,,Turdus merula,,2022-07-08,,"West Nile virus strain Italy/2022/Padova/22VIR7373, complete genome"
