,Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Isolation_Source,date,BioSample,GenBank_Title,Division
965,MH507901.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2004-08-13,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2004-08-13/W354, partial genome","Bakersfield,California"
966,MH507902.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2004-08-13,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2004-08-13/W355, partial genome","Bakersfield,California"
967,MH507903.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2004-09-21,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2004-09-21/W356, partial genome","Bakersfield,California"
968,MH507904.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2004-09-23,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2004-09-23/W357, partial genome","Bakersfield,California"
969,MH507905.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex tarsalis,pooled insects,2005-06-21,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2005-06-21/W358, partial genome","Bakersfield,California"
970,MH507906.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2005-07-01,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2005-07-01/W359, partial genome","Bakersfield,California"
971,MH507907.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2005-07-01,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2005-07-01/W360, partial genome","Bakersfield,California"
972,MH507908.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2005-07-01,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2005-07-01/W361, partial genome","Bakersfield,California"
973,MH507909.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex tarsalis,pooled insects,2005-07-06,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2005-07-06/W362, partial genome","Bakersfield,California"
974,MH507910.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex tarsalis,pooled insects,2005-07-06,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2005-07-06/W363, partial genome","Bakersfield,California"
975,MH507911.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Shafter,California",USA,CA,Culex quinquefasciatus,pooled insects,2005-07-07,?,"West Nile virus strain WNV/mosquito/Shafter_CA_USA/2005-07-07/W364, partial genome","Shafter,California"
976,MH507912.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2005-07-14,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2005-07-14/W365, partial genome","Bakersfield,California"
977,MH507913.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2005-07-14,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2005-07-14/W366, partial genome","Bakersfield,California"
978,MH507914.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2005-07-14,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2005-07-14/W367, partial genome","Bakersfield,California"
979,MH507915.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex tarsalis,pooled insects,2005-07-19,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2005-07-19/W368, partial genome","Bakersfield,California"
980,MH507916.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex tarsalis,pooled insects,2006-07-11,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2006-07-11/W369, partial genome","Bakersfield,California"
981,MH507917.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex tarsalis,pooled insects,2006-07-11,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2006-07-11/W370, partial genome","Bakersfield,California"
982,MH507918.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex tarsalis,pooled insects,2006-07-11,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2006-07-11/W371, partial genome","Bakersfield,California"
983,MH507919.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex tarsalis,pooled insects,2006-07-11,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2006-07-11/W372, partial genome","Bakersfield,California"
984,MH507920.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2006-07-14,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2006-07-14/W373, partial genome","Bakersfield,California"
985,MH507921.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2006-07-21,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2006-07-21/W374, partial genome","Bakersfield,California"
986,MH507922.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2006-07-21,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2006-07-21/W375, partial genome","Bakersfield,California"
987,MH507923.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2006-07-21,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2006-07-21/W376, partial genome","Bakersfield,California"
988,MH507924.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2006-07-21,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2006-07-21/W377, partial genome","Bakersfield,California"
989,MH507925.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2006-07-21,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2006-07-21/W378, partial genome","Bakersfield,California"
990,MH507926.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2006-07-21,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2006-07-21/W379, partial genome","Bakersfield,California"
991,MH507927.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2006-08-04,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2006-08-04/W380, partial genome","Bakersfield,California"
992,MH507928.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2006-08-04,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2006-08-04/W381, partial genome","Bakersfield,California"
993,MH507929.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2006-08-04,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2006-08-04/W382, partial genome","Bakersfield,California"
994,MH507930.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2006-08-04,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2006-08-04/W383, partial genome","Bakersfield,California"
995,MH507931.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex tarsalis,pooled insects,2007-06-05,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2007-06-05/W384, partial genome","Bakersfield,California"
996,MH507932.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex tarsalis,pooled insects,2007-06-06,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2007-06-06/W385, partial genome","Bakersfield,California"
997,MH507933.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2007-06-08,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2007-06-08/W386, partial genome","Bakersfield,California"
998,MH507934.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2007-06-15,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2007-06-15/W387, partial genome","Bakersfield,California"
999,MH507935.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2007-06-22,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2007-06-22/W388, partial genome","Bakersfield,California"
1000,MH507936.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2007-08-03,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2007-08-03/W389, partial genome","Bakersfield,California"
1001,MH507937.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2007-08-03,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2007-08-03/W390, partial genome","Bakersfield,California"
1002,MH507938.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Arvin,California",USA,CA,Culex quinquefasciatus,pooled insects,2007-08-15,?,"West Nile virus strain WNV/mosquito/Arvin_CA_USA/2007-08-15/W391, partial genome","Arvin,California"
1003,MH507939.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Bakersfield,California",USA,CA,Culex quinquefasciatus,pooled insects,2007-08-15,?,"West Nile virus strain WNV/mosquito/Bakersfield_CA_USA/2007-08-15/W392, partial genome","Bakersfield,California"
1004,MH507940.1,West Nile virus,?,"Grubaugh,N., Fang,Y., Matteson,N.L., Gangavarapu,K., Coffey,L., Barker,C., Andersen,K.","The Scripps Research Institute, Department of Immunology and Microbiology",USA,2019-01-20T00:00:00Z,?,Orthoflavivirus nilense,10302,partial,"USA: Greenacres,California",USA,CA,Culex quinquefasciatus,pooled insects,2007-08-15,?,"West Nile virus strain WNV/mosquito/Greenacres_CA_USA/2007-08-15/W393, partial genome","Greenacres,California"
